link,article,title
https://edition.cnn.com/2024/01/18/food/subway-footlong-cookie-churro-pretzel-launch/index.html,"CNN Subway's footlong sandwiches are finally getting sides to match - and the company is hopeful the new menu items will aid in its turnaround efforts. The chain is making a The permanent sides, called Subway Sidekicks, will be available across the US beginning January 22. Prices will vary depending on market, but the suggested price for the churro is $2, the pretzel is $3 and $5 for the cookie. Sidekicks marks a whole new menu category for Subway, best known for their sandwiches. The additions come from customers demanding more from the menu, according to Douglas Fry, Subway's North America president. ""We've done that because we've gotten feedback from our guests because they can come in and grab their favorite sandwich, but they wanted some other reasons to come in,"" Fry told CNN. ""Grazing and snacking is on the rise, especially with our core consumers."" Another benefit for Subway, Value was also a factor in launching Sidekicks, Fry said. ""These footlong snacks come in at a great price. We're going to see some great lift and excitement from college campuses ... which, at the end of the day, is what we're chasing after as we evolve the Subway brand."" The addition of Sidekicks ""makes sense,"" said David Henkes, senior principal at Technomic, telling CNN that Subway needs to increase revenue somewhere since fast food customers have begun pushing back on price increases amid inflation. ""They've underperformed in the sandwich segment, so they need to shake things up a little bit and drive some incremental traffic,"" Henkes said. Technomic data shows that Subway also lags in sales for sides and snacks compared to its competitors. Saving Subway The chain has undergone a makeover in basically all aspects of its business having struggled in recent years as competition has ramped up and as the nearly 60-year-old brand has fallen out of favor with customers. As part of its turnaround effort, the company added The fixes have largely worked, although the privately held company doesn't regularly release financial reports. Most recently, in July 2023, the company announced its 10th consecutive quarter of positive sales at stores open at least a year, including a 9.5% increase at its North America locations (it didn't reveal specific numbers). Despite the sales turnaround, the number of US Subway stores declined to 20,576 in 2022 according to Technomic. That's a sharp decrease from its peak in 2015 when it had 27,219 locations. Yearly sales at Subway US restaurants are still much lower compared to its sandwich-making rivals. Data from Last August, Subway",Subway is adding something big to its menu
https://edition.cnn.com/2024/01/10/tech/meta-match-walmart-ads-disturbing-content-lawsuit/index.html,"CNN Meta advertisers, including dating app company Match Group and Walmart, have raised concerns to the tech giant about their ads appearing alongside disturbing sexual content, New Mexico Attorney General Raul Torrez alleged in an updated complaint in his lawsuit against the tech giant. The updated complaint, filed Wednesday in New Mexico district court, comes after Torrez sued Meta and CEO Mark Zuckerberg last month, Wednesday's filing alleges that Match Group cut its advertising spending on Meta's platforms over its concerns. The claims that advertisers have raised such concerns to Meta -- and that Match cut its spending -- marks a ""We don't want this kind of content on our platforms and brands don't want their ads to appear next to it,"" Meta said in a statement from spokesperson Andy Stone. ""We continue to invest aggressively to stop it -- and report every quarter on the prevalence of such content, which remains very low. Our systems are effective at reducing violating content, and we've invested billions in safety, security and brand suitability solutions."" Walmart said in a statement to CNN that it takes ""brand safety issues extremely seriously, and protecting our customers and communities will always be a top priority."" Match Group did not immediately respond to a request for comment. Wednesday's complaint cites an alleged email exchange between Match and Meta late last year in which the dating company asked how Meta prevented its ads from running next to inappropriate content. Meta tells advertisers that its technology prevents ads from appearing next to content that is ""excessively controversial or offensive, such as full nudity, excessive violence, terrorist acts, or misinformation,"" and by touting its additional ""brand suitability controls"" available to advertisers, the complaint states. However, Match informed Meta that its ads had run alongside a series of Instagram Reels videos showing ""young girls, including a '[y]oung girl provocatively dressed, straddling and caressing a Harley Davidson-style motorcycle,'"" as well as next to a Facebook group ""showing films of women being murdered,"" according to the complaint. Meta responded saying it had removed some of the flagged content, including the group, the complaint states. Match Group's CEO also allegedly reached out directly to Zuckerberg to note that ""Meta is placing ads adjacent to offensive, obscene - and potentially illegal - content, including sexualization of minors and gender-based violence,"" and said that Match had cut its advertising spending on Meta's platforms. Zuckerberg has not yet responded to the message, the complaint states. Walmart also repeatedly raised concerns to Meta last year about where its ads were being shown, including following a November report by The Wall Street Journal indicating that an advertisement for the retailer was shown after an explicit video of a woman, the complaint alleges. ""It is extremely disappointing that this type of content exists on Meta, and it is unacceptable for Walmart's brand to appear anywhere near it,"" the company said in an email to Meta, according to the complaint. Meta moved to dismiss the New Mexico lawsuit last month, arguing the complaint failed to state a claim. The tech giant also cited its protections under a law known as Growing scrutiny of youth safety The New Mexico lawsuit is part of growing pressure on Meta to address alleged harm to young users of Facebook and Instagram. The social media giant has been sued by various Meta has strongly and repeatedly denied claims that its platforms put children at risk. The company on Wednesday announced new youth safety efforts, including content restrictions and new blocked search terms, that add to its existing slate of more than 30 Still, Torrez claims the company is not doing enough to protect young users. ""Mr. Zuckerberg and Meta are refusing to be honest and transparent about what is taking place on Meta's platforms,"" Torrez said in a statement to CNN Wednesday. ""New Mexico's complaint alleges that, for years, they have misled the public about children's inappropriate and dangerous experiences on Facebook and Instagram."" Allegations of child predators using Facebook Wednesday's complaint also alleges that Meta executives have for years known that child predators were using Facebook to groom victims and failed to act. It claims that as far back as 2018, Facebook employees raised alarms to senior executives that the platform was aiding child predators in connecting with children and suggested solutions to address the issue that were rejected. In particular, the ""People You May Know"" feature was responsible for suggesting to adult users the accounts of children that matched search terms they'd previously used, such as ""children in their geographic area,"" the complaint alleges. In a Wall Street Journal report about the issue in December, Meta's Stone The complaint also alleges that ""Forums on the dark web devoted to child sex abuse ... show open conversations about the role of Instagram's and Facebook's algorithms in delivering children to predators."" In one instance viewed by the attorney general's investigators, one participant in the chat forum discussed having been followed by a 10-year-old girl on Instagram and said they were considering sending her a direct message. ""Do you think I'm getting in trouble,"" the participant asked on the forum, according to the complaint. Another participant responded, ""you see how the baby reacts! On Instagram it is very easy to just ask for a couple of intimate photos and then send your own and if you like each other go to a meeting in a cozy place,"" the complaint states. The new claims come as Zuckerberg is set to testify later this month at a Senate subcommittee hearing on youth safety online, alongside representatives from TikTok, Snapchat, Discord and X.","Ads for Match Group and Walmart ran alongside disturbing content on Meta's platforms, court documents claim"
https://edition.cnn.com/2024/01/10/tech/twitch-cutting-500-jobs/index.html,"CNN Amazon on Wednesday cut hundreds of jobs across two different business units: streaming platform Twitch and its film and television studios division. Amazon is cutting ""several hundred"" roles across Prime Video and Amazon MGM Studios, according to an internal note shared with CNN. In addition, video game streaming company Twitch, which is owned by the tech giant, said Wednesday it is laying off 500 workers as part of ongoing cost-cutting efforts. Mike Hopkins, senior vice president of Prime Video and Amazon MGM Studios, said in an internal memo that the company began to reach out to affected employees Wednesday. ""We've identified opportunities to reduce or discontinue investments in certain areas while increasing our investment and focus on content and product initiatives that deliver the most impact,"" he said in the letter. Amazon Hopkins said the company is ""providing packages that include a separation payment, transitional benefits as applicable by country, and external job placement support."" Twitch layoffs Twitch CEO Dan Clancy confirmed the gaming unit's layoffs in messages to the company's users and staff, calling it an ""incredibly difficult"" decision. Wednesday's announcement comes after ""Over the last year, we've been working to build a more sustainable business so that Twitch will be here for the long run and throughout the year we have cut costs and made many decisions to be more efficient,"" Clancy said in the note to employees, which was The layoffs were first reported by It was not immediately clear which areas of the company would be affected by the cuts. Clancy said affected employees would be notified on Wednesday. The CEO also said he would hold a livestream conversation on Twitch on Thursday afternoon to answer any questions from the company's users. The layoffs point to ongoing challenges at Twitch, although Amazon does not break out specific results for the unit. They also follow the departures of several top executives from the company late last year, including its chief product officer, chief customer officer, chief content officer and chief revenue officer. ""While the Twitch business remains strong, for some time now the organization has been sized based upon where we optimistically expect our business to be in 3 or more years, not where we're at today,"" Clancy told employees Wednesday. He added that Twitch paid out $1 billion to streamers through its revenue share model in 2023. Many major tech firms Those layoffs largely tapered off toward the second half of last year, although Amazon and Google made some smaller, more targeted cuts in late 2023, and other tech firms including","Amazon will cut hundreds of jobs, including at game streaming firm Twitch"
https://edition.cnn.com/2024/01/11/tech/al-gore-is-officially-too-old-for-apple/index.html,"CNN Al Gore is stepping down from Apple's Board of Directors - but only because he's too old to be Apple has a longstanding policy that its directors cannot stand for reelection after reaching the age of 75. That means it's time for Gore, who is now 75, to retire, the company announced Thursday. Gore has served on the Apple board since 2003, the company said. He's also served as the 45th vice president of the United States and as a climate activist. The Nobel laureate received $376,894 as compensation for serving on Apple's Board of Directors in 2023, according to an SEC filing. That total included $275,022 in stock awards. James Bell, former chief financial officer of The Boeing Company, will also step down from the board due to his age. In their place, the iPhone maker announced that it nominated Wanda Austin, the former president and CEO of The Aerospace Corporation, for election to Apple's board. Dr. Austin, an advocate for STEM education, also serves on the board of Chevron and Amgen Inc. ""Wanda has spent decades advancing technology on behalf of humanity, and we're thrilled to welcome her to Apple's board of directors,"" said Apple CEO Tim Cook in a statement Thursday. Cook also credited Gore's service to Apple. ""For more than 20 years, Al has contributed an incredible amount to our work -- from his unconditional support for protecting our users' privacy, to his incomparable knowledge of environment and climate issues,"" he said in a statement. In 2011, Gore",Al Gore is officially too old to serve on Apple's board
https://edition.cnn.com/2023/04/12/tech/fbi-public-charging-port-warning/index.html,"CNN The FBI is warning consumers against using public phone charging stations in order to avoid exposing their devices to malicious software. Public USB stations like the kind found at malls and airports are being used by bad actors to spread malware and monitoring software, according to a ""Carry your own charger and USB cord and use an electrical outlet instead,"" the agency advised in the tweet. While public charging stations are attractive to many when devices are running critically low on battery, security experts have for years raised concerns about the risk. In 2011, researchers coined the term ""juice jacking"" to describe the problem. ""Just by plugging your phone into a [compromised] power strip or charger, your device is now infected, and that compromises all your data,"" Drew Paik, formerly of security firm Authentic8, The cord you use to charge your phone is also used to send data from your phone to other devices. For instance, when you plug your iPhone into your Mac with the charging cord, you can download photos from your phone to your computer. If a port is compromised, there's no limit to what information a hacker could take, Paik previously explained to CNN. That includes your email, text messages, photos and contacts. ""The FBI regularly provides reminders and public service announcements in conjunction with our partners,"" Vikki Migoya, public affairs officer at the FBI's Denver branch, told CNN. ""This was a general reminder for the American public to stay safe and diligent, especially while traveling."" The Federal Communications Commission also ""In some cases, criminals may have intentionally left cables plugged in at charging stations,"" according to the FCC blog post. ""There have even been reports of infected cables being given away as promotional gifts.""",FBI warns consumers not to use public phone charging stations
https://edition.cnn.com/2024/01/10/tech/federal-judge-pauses-ohio-social-media-law/index.html,"CNN An Ohio law regulating kids' accounts on social media likely violates the First Amendment in ""breathtakingly blunt"" ways and cannot take effect next week as scheduled, a federal judge has ruled. The state law set to take effect Jan. 15 would have required social media platforms to obtain parental consent before creating accounts for children under  age 16. The decision to pause the law while litigation continues marks another early-stage victory for the tech industry against a wave of state social media laws seeking to govern how tech companies engage with young users. Those laws have emerged as a response to nationwide concerns about the possible link between social media use and harms to mental health, particularly for minors. In Tuesday's emergency order temporarily blocking the law, Algenon Marbley, chief judge at the US District Court for the Southern District of Ohio, sided with tech industry arguments about Ohio's Parental Notification by Social Media Operators Act. Marbley expressed doubts about Ohio's ability to prove in court that the law can survive First Amendment scrutiny, writing that the legislation's approach ""is an untargeted one, as parents must only give one-time approval for the creation of an account,"" and doesn't otherwise require platforms to ""protect against any of the specific dangers that social media might pose."" Challenging the law is a tech industry group, NetChoice, whose members include Instagram-parent Meta, Google, TikTok and Snapchat-parent Snap, among others. NetChoice had argued that Ohio's law infringes on the First Amendment rights of social media companies and underage Ohioans alike. ""NetChoice is glad the Court decided to halt this unconstitutional law while our case for a preliminary injunction is heard,"" said Chris Marchese, director of the NetChoice litigation center. ""We look forward to making our case to the Court and ensuring that Ohioans' First Amendment rights, privacy, and security online are protected."" NetChoice has challenged social media laws in",Federal judge pauses Ohio social media law requiring parental consent for kids' accounts
https://edition.cnn.com/2023/04/12/business/electric-car-regulations-response/index.html,"CNN The US government is planning to Without these requirements, electric vehicles would have reached that sort of market share sometime after 2035, according to Moody's industry analyst Matthias Heck. The goals laid out by the EPA are manageable, he said, but it won't be easy and high levels of investment would be needed. For now, the proposal is still just that, a proposal, and could well change before before being finalized, Heck pointed out. Over the next decade things will change a lot, including charging infrastructure and the vehicles themselves. Consumers will be drawn to electric vehicles more as battery technology improves and prices drop. And government incentives, like those under the new Inflation Reduction Act, will help, too. It's important to remember that, nearly a decade from now, electric vehicles are going to be different from what's on the market today, said Chris Harto a policy analyst for transportation and energy at Consumer Reports. And even as EV market share rises to two-thirds, it's not like EVs will flood America's roads overnight, he said. Eighty percent of the cars on the roads in 2032 will still be gas-powered, he said, but shopping for a new vehicle will be different. 'We're talking about past cost parity, so it's going to be the same price or cheaper,"" compared to a gas-powered car, he said. At the same time, driving ranges will increase, fast charging will be easier and more accessible and owners will enjoy greatly reduced operating costs, Harto said. Moody's Heck predicted that next-generation EV batteries expected in the next few years will go 30% further on a charge and will recharge 30% faster. So when combined with improved charging networks - something else that can be expected over that time - electric cars won't be a particularly hard sell for consumers who are just looking for the best vehicle at a good price, Harto said. There will also be more electric vehicle models available by 2032. Today, there are ""EV equivalents"" available for roughly 40% of the gas vehicle models Americans can buy, according to Elizabeth Krear, vice president of the electric vehicle practice at JD Power. Electric market share now stands at 8.5%. Krear did not specifically comment on the chances of EVs making up two-thirds of the US auto market by 2032. But by 2026, just three years from now, Krear expects there will be ""EV equivalents"" for 75% of the vehicles Americans shop for and market share will have already tripled to 27%. In California, where EVs are more popular and there are more models available, EV market share is already expected to reach the two-thirds mark before 2032. California plans to allow the sale of only fully electric and plug-in hybrid vehicles by 2035, a goal it's on the way to meeting, according to Corey Cantor, an analyst with Bloomberg NEF. So California should be at over 80% market share for plug-in vehicles, including plug-in hybrids, by 2032 and California itself, through its sheer size, is a big factor in the overall US vehicle market. ""California's influence on the whole country Is really bringing it forward to maybe a year sooner than where it would be without California,"" he said. Reaching two-thirds EV market share mark by 2032 isn't a sure thing, said Cantor, but it should be manageable. The increasing number of automakers entering the EV market will also help, said Ivan Drury, an industry analyst with Edmunds.com. Many car buyers tend to be very loyal to their preferred vehicle brand. ""Not everyone is willing to jump ship just because it's an EV or it has X-Y-Z piece of technology,"" said Drury. "" I think that when you have something like Toyota, definitely a loyal consumer base, they don't want anything other than Toyotas."" Currently, Toyota offers only one electric model in the United States, the  The Alliance for Automotive Innovation, an industry group that includes most major automakers operating in the country, ""[A] lot has to go right for this massive - and unprecedented - change in our automotive market and industrial base to succeed,"" the group wrote in its statement. At some point, various automakers that may have been slower than GM to embrace electric will simply have to make the switch for economic reasons, said Cantor. Once consumers start broadly embracing EVs, continuing to invest in the development and production of internal combustion vehicles just won't make economic sense any longer.",US government's proposal to boost EV sales is challenging but not impossible
https://edition.cnn.com/2023/04/23/tech/iphone-thief-recovery-key/index.html,"CNN A complex but concerning method Some iPhone thieves are exploiting a security setting, called the recovery key, that makes it nearly impossible for owners to access their photos, messages, data and more, according to a recent Wall Street Journal report. It's important to note, however, this type of takeover is hard to pull off. It requires a criminal essentially watching an iPhone user enter the device's passcode - for example, by looking over their shoulder at a bar or sporting event - or manipulating the device's owner so they'll share their passcode. And that's all before they physically steal the device. From there, a thief could use Apple requires this key to help reset or regain access to an Apple ID in an effort to bolster the user's security, but if a thief changes it, the original owner will not have the new code and will be locked out of the account. ""We sympathize with people who have had this experience and we take all attacks on our users very seriously, no matter how rare,"" an Apple spokesperson said in a statement to CNN. ""We work tirelessly every day to protect our users' accounts and data, and are always investigating additional protections against emerging threats like this one."" On its website, Apple Jeff Pollard, VP and principal analyst at Forrester Research, said the company should offer more customer support options and ""ways for Apple users to authenticate so they can reset these settings."" For now, however, there are a handful of steps users can take to potentially protect themselves from having this happen to them. Protect the passcode The first step is protecting the passcode. An Apple spokesperson told CNN people can use Face ID or Touch ID when unlocking their phone in public to avoid revealing their passcode to anyone who might be watching. Users can also set up a longer, alphanumeric passcode that's harder for bad actors to figure out. Device owners Screen Time settings Another step someone could consider is a hack not necessarily endorsed by Apple but one that's been circulating online. Within an iPhone's Screen Time setting, which allows guardians to set up restrictions on how kids can use the device, there is the option to set up a secondary password that would be required from any user before they could By enabling this, a thief would be prompted for that secondary password before changing an Apple ID password. Back up phone regularly Finally, users can protect themselves by regularly backing up an iPhone - via iCloud or iTunes - so data can be recovered in the case an iPhone is stolen. At the same time, users may want to consider storing important photos or other sensitive files and data in another cloud service, such as Google Photos, Microsoft OneDrive, Amazon Photos or Dropbox. This won't stop a bad actor from gaining access to the device, but it should limit some of the fallout if it ever should happen.",How to protect yourself from iPhone thieves locking you out of your own device
https://edition.cnn.com/2024/01/16/tech/elon-musk-tesla-pay-package/index.html,"CNN Elon Musk says he wants a significantly larger stake in Tesla than the one that already made him the richest person on the planet. In a series of posts on X Monday night, Musk said that he would not want to grow Tesla to become a leader in artificial intelligence and robotics without a compensation plan that would give him ownership of around 25% of the company's stock. That would be about double the roughly 13% stake he currently owns. ""I am uncomfortable growing Tesla to be a leader in AI & robotics without having ~25% voting control. Enough to be influential, but not so much that I can't be overturned,"" Musk wrote in a Notably, Musk held a stake of more than 20% in Tesla before he sold a large number of shares to buy X, the social media company he purchased over a year ago for $44 billion. Tesla remains the leader in electric vehicles, but the competition is gaining ground. Musk has said the company's future lies in AI and robotics. In January 2022, he said on a call with Wall Street analysts that he believes the company's goal of building a humanoid robot is the The robot is notably not ready for prime time: So any signal that Musk won't continue that line of work at Tesla could be unnerving for investors. Shares of Tesla ( Massive pay package Musk has gone several years without a new compensation plan. The lead plaintiff in that lawsuit Musk on Monday said he and Tesla are waiting for ruling in the case before they agree to a new pay package. ""I should note that the Tesla board is great,"" Musk said in an Musk then said he put ""compensation plan"" in quotes because he is mainly concerned about the amount of ownership he holds. The Tesla CEO argued that he wields too little influence at the company and fears that asset managers that hold massive stakes in Tesla, such as Fidelity and BlackRock, could undermine his ability to transform the company if he sought to take it in a new direction. ""If I have 25%, it means I am influential, but can be overridden if twice as many shareholders vote against me vs for me,"" Musk wrote. ""At 15% or lower, the for/against ratio to override me makes a takeover by dubious interests too easy."" Many tech companies have a dual-class voting system, in which a founder or early leader like Musk has multiple votes for each share to maintain their outsized influence of the company. Mark Zuckerberg, for example, holds 61% of the voting power at Meta despite Vanguard, BlackRock and Fidelity owning more Meta stock than he does. But Musk said a dual-class system at Tesla was a nonstarter, blaming a ""post-IPO Delaware."" It's unclear exactly what Musk meant by that. Regulators have been pushing back on those kind of ownership structures, but they're still allowed.",Elon Musk demands another huge payday from Tesla
https://edition.cnn.com/2023/09/07/style/tosin-oshinowo-lantern-house-banana-island-nigeria-spc-intl/index.html,"CNN Architect Tosin Oshinowo In late 2022, she and her design practice, Oshinowo says the Lantern House project, a five-bedroom, seven-bathroom, three-story sustainable home, powered entirely by solar energy, was both exciting and a ""slow labor of love."" Contacted by her clients in September 2020, she, alongside her team and specialist contractors for various aspects of the home, started construction in January 2021 and ended last October. Working on Banana Island The 1.6 million-square meter (17 million-square feet), man-made Banana Island is named for its shape, and is a private, gated community in Nigeria's commercial capital. (The exclusive area also made news in With private power and water infrastructure systems, property on the island is some of the most expensive on the continent. That exclusivity was one of the main challenges for the Lantern House project, says Oshinowo, with strictly enforced restricted working hours that made looming deadlines difficult to meet. Despite this, Oshinowo says seeing her vision come to life was fulfilling, adding that she's proud of the end result. ""It's one thing to produce great conceptual design. It's another thing to execute it to a seamless finish,"" she said. ""It's such an exciting feeling to think that the decisions that you've made have worked."" She says something the Lantern House project emphasized for her is that ""being meticulous in the long run always pays off."" cmDA has since started working on another project on Banana Island. A childhood dream Oshinowo remembers wanting to be an architect from the age of 12, looking over floor plans and helping her father to design part of their holiday home when she was young. With degrees in architecture and urban design from the UK as well as an MBA in architecture, she worked for architecture firms in the UK and Europe before The award-winning architect says she founded This bent towards sustainability is something the 43-year-old has carried into her curatorial role for this year's upcoming ""It's a validation to know that coming from Nigeria, practicing as a Black female architect in West Africa, that my work is not just relevant to the context of where we find ourselves now,""",The 'Lantern House' is built on some of the most expensive property in Africa. Take a look inside
